		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
09/01/17	3:10 p	19.5	19.5	18.8	28	0.5	1.6	W	0.27	8.0	SE	19.5	17.3	17.3	---	779.5	0.00	0.0	109	1.56	204	1.4	0.10	1.5	0.000	0.008	18.0	35	2.3	16.2	7.05	 .0771	0.00	223	3	100.0	10
09/01/17	3:20 p	19.4	19.6	19.4	28	0.4	4.8	W	0.80	9.7	W	19.4	17.2	17.2	---	779.4	0.00	0.0	66	0.95	67	1.4	0.10	1.4	0.000	0.008	18.1	36	2.7	16.3	7.16	 .0771	0.00	222	3	100.0	10
09/01/17	3:30 p	19.3	19.5	19.3	29	0.8	4.8	SE	0.80	14.5	ESE	19.3	17.2	17.2	---	779.2	0.00	0.0	65	0.93	67	1.3	0.09	1.3	0.000	0.007	18.1	36	2.8	16.4	7.16	 .0771	0.00	220	3	100.0	10
09/01/17	3:40 p	19.1	19.3	19.0	30	1.1	4.8	SE	0.80	11.3	SE	19.1	17.1	17.1	---	779.2	0.00	0.0	63	0.90	63	1.2	0.09	1.2	0.000	0.005	18.1	36	2.8	16.4	7.16	 .0771	0.00	223	3	100.0	10
09/01/17	3:50 p	19.3	19.4	19.2	30	1.3	3.2	NW	0.54	11.3	WNW	19.3	17.3	17.3	---	779.1	0.00	0.0	60	0.86	62	1.1	0.08	1.2	0.000	0.007	18.2	35	2.4	16.4	7.05	 .0770	0.00	221	3	100.0	10
09/01/17	4:00 p	19.6	19.6	19.3	29	1.0	1.6	S	0.27	8.0	ESE	19.6	17.4	17.4	---	779.0	0.00	0.0	58	0.83	58	1.0	0.07	1.1	0.000	0.008	18.2	35	2.5	16.4	7.05	 .0770	0.10	221	3	100.0	10
09/01/17	4:10 p	19.6	19.6	19.5	29	1.0	3.2	SE	0.54	11.3	ESE	19.6	17.4	17.4	---	778.8	0.00	0.0	56	0.80	56	0.9	0.06	1.0	0.000	0.008	18.2	35	2.5	16.4	7.05	 .0770	0.00	221	3	100.0	10
09/01/17	4:20 p	19.6	19.7	19.6	29	1.0	3.2	SSE	0.54	11.3	SE	19.6	17.4	17.4	---	778.7	0.00	0.0	55	0.79	56	0.3	0.02	0.9	0.000	0.008	18.3	36	2.9	16.6	7.15	 .0770	0.00	222	3	100.0	10
09/01/17	4:30 p	20.0	20.0	19.6	28	0.9	3.2	W	0.54	8.0	WNW	20.0	17.9	17.9	---	778.7	0.00	0.0	53	0.76	54	0.0	0.00	0.0	0.000	0.012	18.3	35	2.6	16.6	7.05	 .0769	0.00	224	3	100.0	10
09/01/17	4:40 p	20.4	20.4	20.0	29	1.8	1.6	SE	0.27	8.0	WSW	20.4	18.4	18.4	---	778.6	0.00	0.0	52	0.75	53	0.0	0.00	0.0	0.000	0.015	18.4	34	2.2	16.6	6.85	 .0769	0.00	222	3	100.0	10
09/01/17	4:50 p	20.1	20.4	20.1	29	1.5	3.2	SE	0.54	8.0	SE	20.1	18.1	18.1	---	778.6	0.00	0.0	49	0.70	51	0.0	0.00	0.0	0.000	0.012	18.4	35	2.7	16.7	7.05	 .0769	0.00	221	3	100.0	10
09/01/17	5:00 p	19.9	20.1	19.8	30	1.8	0.0	SE	0.00	6.4	SE	19.9	17.9	17.9	---	778.5	0.00	0.0	45	0.65	47	0.0	0.00	0.0	0.000	0.011	18.5	35	2.7	16.7	7.05	 .0769	0.08	223	3	100.0	10
09/01/17	5:10 p	19.9	19.9	19.8	29	1.4	1.6	SSW	0.27	6.4	SSW	19.9	17.9	17.9	---	778.5	0.00	0.0	40	0.57	42	0.0	0.00	0.0	0.000	0.011	18.6	36	3.2	16.9	7.16	 .0768	0.00	219	3	100.0	10
09/01/17	5:20 p	19.9	19.9	19.9	29	1.3	0.0	SSW	0.00	4.8	SSW	19.9	17.8	17.8	---	778.6	0.00	0.0	35	0.50	37	0.0	0.00	0.0	0.000	0.011	18.6	36	3.2	16.9	7.16	 .0768	0.00	221	3	100.0	10
09/01/17	5:30 p	19.5	19.9	19.5	29	1.0	1.6	SSW	0.27	6.4	SSW	19.5	17.4	17.4	---	778.6	0.00	0.0	27	0.39	30	0.0	0.00	0.0	0.000	0.008	18.6	36	3.2	16.9	7.16	 .0768	0.00	218	3	100.0	10
09/01/17	5:40 p	19.0	19.5	19.0	28	0.1	3.2	SE	0.54	11.3	SSE	19.0	16.8	16.8	---	778.7	0.00	0.0	21	0.30	25	0.0	0.00	0.0	0.000	0.005	18.6	36	3.2	16.9	7.16	 .0769	0.00	220	3	100.0	10
09/01/17	5:50 p	18.5	19.0	18.5	28	-0.4	3.2	ESE	0.54	8.0	ESE	18.5	16.2	16.2	---	778.7	0.00	0.0	17	0.24	19	0.0	0.00	0.0	0.000	0.001	18.6	35	2.8	16.8	7.05	 .0769	0.00	221	3	100.0	10
09/01/17	6:00 p	18.1	18.5	18.1	29	-0.3	3.2	ESE	0.54	11.3	ESE	18.1	15.9	15.9	---	778.9	0.00	0.0	11	0.16	12	0.0	0.00	0.0	0.002	0.000	18.6	35	2.8	16.8	7.05	 .0769	0.05	222	3	100.0	10
09/01/17	6:10 p	17.6	18.1	17.6	28	-1.2	6.4	SE	1.07	14.5	SE	17.6	15.3	15.3	---	779.0	0.00	0.0	6	0.09	9	0.0	0.00	0.0	0.005	0.000	18.6	35	2.8	16.8	7.05	 .0769	0.00	220	3	100.0	10
09/01/17	6:20 p	17.2	17.6	17.2	29	-1.0	6.4	SE	1.07	17.7	SE	17.2	15.1	15.1	---	779.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.008	0.000	18.6	35	2.8	16.8	7.05	 .0769	0.00	222	3	100.0	10
09/01/17	6:30 p	16.8	17.2	16.8	30	-0.9	4.8	SE	0.80	11.3	SSE	16.8	14.8	14.8	---	779.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.011	0.000	18.6	35	2.8	16.8	7.05	 .0769	0.00	222	3	100.0	10
09/01/17	6:40 p	16.4	16.8	16.4	30	-1.2	1.6	SE	0.27	9.7	SE	16.4	14.4	14.4	---	779.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.013	0.000	18.6	35	2.8	16.8	7.05	 .0769	0.00	221	3	100.0	10
09/01/17	6:50 p	16.2	16.4	16.2	31	-1.0	1.6	SW	0.27	6.4	SE	16.2	14.2	14.2	---	779.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.015	0.000	18.6	34	2.4	16.7	6.85	 .0769	0.00	220	3	100.0	10
09/01/17	7:00 p	15.7	16.2	15.7	31	-1.4	1.6	SE	0.27	8.0	SE	15.7	13.8	13.8	---	779.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.019	0.000	18.6	34	2.4	16.7	6.85	 .0770	0.05	222	3	100.0	10
09/01/17	7:10 p	15.4	15.7	15.4	32	-1.2	1.6	SE	0.27	6.4	SE	15.4	13.6	13.6	---	779.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.020	0.000	18.6	34	2.4	16.7	6.85	 .0770	0.00	218	3	100.0	10
09/01/17	7:20 p	15.1	15.4	15.1	32	-1.5	1.6	E	0.27	3.2	SE	15.1	13.2	13.2	---	779.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.023	0.000	18.6	34	2.4	16.7	6.85	 .0770	0.00	220	3	100.0	10
09/01/17	7:30 p	14.8	15.1	14.8	32	-1.7	1.6	E	0.27	6.4	E	14.8	13.1	13.1	---	779.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.024	0.000	18.5	35	2.7	16.7	7.05	 .0770	0.00	223	3	100.0	10
09/01/17	7:40 p	14.7	14.8	14.7	32	-1.9	1.6	E	0.27	6.4	E	14.7	12.9	12.9	---	779.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.025	0.000	18.5	34	2.3	16.7	6.85	 .0770	0.00	223	3	100.0	10
